Recency,Frequency,Revenue,Revenue_per_Transaction,m6_Revenue,CustomerID,LTVCluster
24,2,5307.82,2653.91,3465.2,12451.0,1
101,2,1698.9,849.45,767.96,12455.0,0
60,1,940.1700000000001,940.1700000000001,2240.87,12456.0,1
39,3,1067.25,355.75,1295.98,12457.0,0
90,1,441.92,441.92,505.48,12458.0,0
109,1,762.11,762.11,427.48,12462.0,0
12,2,647.95,323.975,696.83,12463.0,0
6,4,544.8499999999999,136.21249999999998,385.29999999999995,12464.0,0
122,1,220.59,220.59,508.95000000000005,12468.0,0
17,13,8397.32,645.9476923076923,8489.34,12471.0,2
73,3,3048.84,1016.2800000000001,3523.27,12472.0,1
6,8,2719.13,339.89125,4656.66,12474.0,1
24,5,2445.1,489.02,4371.32,12476.0,1
45,2,4576.97,2288.485,8642.77,12477.0,2
73,2,1587.27,793.635,1694.36,12480.0,1
10,7,3100.55,442.9357142857143,2495.77,12481.0,1
11,4,994.6600000000001,248.66500000000002,1490.32,12483.0,1
142,1,1138.67,1138.67,3403.05,12484.0,1
142,1,334.93,334.93,0.0,12489.0,0
20,2,1195.72,597.86,3759.91,12490.0,1
3,1,232.5,232.5,201.24,12493.0,0
2,4,715.64,178.91,530.46,12494.0,0
72,4,1210.2,302.55,3047.62,12500.0,1
142,1,2169.39,2169.39,0.0,12501.0,0
24,3,1842.65,614.2166666666667,1881.22,12502.0,1
38,1,73.5,73.5,0.0,12506.0,0
104,1,446.16,446.16,858.65,12507.0,0
90,1,176.5,176.5,0.0,12509.0,0
131,1,681.05,681.05,301.52,12510.0,0
73,1,1017.68,1017.68,0.0,12514.0,0
159,1,383.7,383.7,0.0,12515.0,0
10,3,1697.56,565.8533333333334,936.7,12520.0,0
58,4,500.19,125.0475,1289.58,12523.0,0
10,5,2833.38,566.676,1344.54,12524.0,0
100,2,284.92,142.46,63.790000000000006,12527.0,0
82,2,771.66,385.83,790.22,12528.0,0
39,2,805.0,402.5,857.28,12530.0,0
68,3,4517.69,1505.8966666666665,1050.66,12539.0,0
25,5,4838.04,967.608,8562.2,12540.0,2
86,1,312.4,312.4,668.78,12541.0,0
65,1,628.15,628.15,372.24,12545.0,0
3,2,207.79999999999998,103.89999999999999,0.0,12547.0,0
163,1,168.0,168.0,0.0,12551.0,0
10,5,1734.62,346.924,1680.64,12553.0,1
62,3,4854.62,1618.2066666666667,7136.34,12557.0,2
116,2,561.71,280.855,0.0,12559.0,0
108,1,238.85,238.85,0.0,12561.0,0
4,1,444.96000000000004,444.96000000000004,2682.41,12562.0,1
67,1,456.9,456.9,0.0,12564.0,0
94,1,145.92,145.92,0.0,12565.0,0
7,4,3884.32,971.08,5516.96,12567.0,2
24,5,1164.32,232.86399999999998,2265.35,12569.0,1
33,1,160.54000000000002,160.54000000000002,0.0,12573.0,0
121,1,218.45,218.45,0.0,12574.0,0
24,2,421.65,210.825,894.18,12576.0,0
165,1,195.89,195.89,461.91,12577.0,0
136,1,1608.66,1608.66,1185.85,12578.0,0
52,1,415.7,415.7,0.0,12580.0,0
44,2,511.36,255.68,0.0,12582.0,0
6,5,3042.39,608.478,3544.22,12583.0,1
86,1,463.63,463.63,1674.07,12584.0,1
40,2,2040.1,1020.05,0.0,12585.0,0
17,2,9864.26,4932.13,0.0,12590.0,0
123,1,452.84999999999997,452.84999999999997,0.0,12591.0,0
19,1,231.8,231.8,205.8,12592.0,0
24,1,236.0,236.0,182.1,12593.0,0
40,5,1177.54,235.50799999999998,2160.6800000000003,12594.0,1
48,1,269.95,269.95,348.32,12596.0,0
74,1,516.15,516.15,3295.07,12597.0,1
26,3,1285.74,428.58,1573.49,12598.0,1
14,3,463.86,154.62,568.72,12599.0,0
10,6,1315.96,219.32666666666668,1283.08,12600.0,0
10,4,508.96000000000004,127.24000000000001,68.1,12601.0,0
67,1,178.5,178.5,75.68,12604.0,0
124,1,287.93,287.93,838.9200000000001,12609.0,0
3,4,1462.52,365.63,1881.8600000000001,12613.0,1
83,1,315.6,315.6,0.0,12614.0,0
103,1,255.6,255.6,457.7,12616.0,0
40,2,631.66,315.83,3009.58,12619.0,1
10,1,561.66,561.66,777.75,12620.0,0
6,10,7355.82,735.582,5145.65,12621.0,1
38,1,180.1,180.1,0.0,12622.0,0
82,1,305.1,305.1,0.0,12623.0,0
17,2,2683.82,1341.91,0.0,12625.0,0
122,2,1274.1,637.05,5346.38,12626.0,2
2,2,1729.55,864.775,434.43,12633.0,0
45,4,2391.75,597.9375,3630.15,12637.0,1
44,1,486.1,486.1,0.0,12639.0,0
26,3,1411.9199999999998,470.63999999999993,1932.72,12643.0,1
25,2,798.9,399.45,976.28,12645.0,0
5,7,2302.31,328.90142857142854,1420.51,12647.0,0
18,1,375.0,375.0,248.51000000000002,12649.0,0
140,1,114.0,114.0,0.0,12651.0,0
137,1,919.98,919.98,0.0,12652.0,0
102,1,779.1,779.1,1430.75,12653.0,1
3,3,337.75,112.58333333333333,171.23000000000002,12654.0,0
9,2,1659.6,829.8,2391.57,12656.0,1
45,4,1344.4,336.1,2280.4300000000003,12662.0,1
38,2,1303.5800000000002,651.7900000000001,2688.3,12664.0,1
130,1,63.0,63.0,0.0,12665.0,0
65,3,2924.4700000000003,974.8233333333334,0.0,12668.0,0
54,2,2272.6,1136.3,471.43,12669.0,0
5,2,1026.3899999999999,513.1949999999999,1273.54,12670.0,0
135,1,225.89999999999998,225.89999999999998,0.0,12672.0,0
132,1,220.9,220.9,0.0,12673.0,0
13,1,586.74,586.74,1383.8600000000001,12674.0,0
66,2,707.4,353.7,623.99,12676.0,0
55,5,3951.84,790.368,13676.619999999999,12678.0,2
11,2,906.38,453.19,206.64000000000001,12679.0,0
4,12,8044.93,670.4108333333334,5742.61,12681.0,2
7,10,4818.45,481.84499999999997,6326.18,12682.0,2
17,9,4417.57,490.8411111111111,3261.52,12683.0,1
3,3,917.1,305.7,1187.1299999999999,12684.0,0
177,1,89.14,89.14,0.0,12686.0,0
11,1,389.01,389.01,0.0,12690.0,0
124,3,406.2,135.4,629.6,12691.0,0
17,3,630.77,210.25666666666666,225.14000000000001,12693.0,0
16,1,89.25,89.25,407.75,12695.0,0
21,1,1092.43,1092.43,2532.81,12700.0,1
48,1,337.08,337.08,460.63,12701.0,0
7,3,3164.1,1054.7,3704.19,12705.0,1
97,1,603.42,603.42,0.0,12707.0,0
6,5,1338.17,267.634,1374.74,12708.0,0
23,7,3927.87,561.1242857142857,5808.65,12709.0,2
7,1,718.96,718.96,430.06,12710.0,0
6,8,2267.48,283.435,2128.65,12712.0,1
12,2,1761.92,880.96,1627.78,12714.0,1
51,1,609.74,609.74,421.24,12717.0,0
3,9,2266.81,251.86777777777777,3132.45,12720.0,1
52,3,1107.82,369.2733333333333,1548.31,12721.0,1
138,1,154.9,154.9,668.27,12724.0,0
177,1,427.8,427.8,0.0,12725.0,0
20,4,1111.28,277.82,1497.82,12726.0,1
87,4,2007.32,501.83,1330.38,12727.0,0
63,3,617.31,205.76999999999998,219.01999999999998,12728.0,0
18,6,8230.09,1371.6816666666666,10665.82,12731.0,2
40,1,383.95,383.95,0.0,12733.0,0
158,1,110.39999999999999,110.39999999999999,0.0,12734.0,0
121,2,779.5699999999999,389.78499999999997,0.0,12735.0,0
139,1,234.0,234.0,0.0,12736.0,0
178,1,155.35,155.35,0.0,12738.0,0
54,4,10262.65,2565.6625,11016.64,12744.0,2
4,6,2091.4,348.56666666666666,1666.1100000000001,12747.0,1
19,1,859.1,859.1,2468.72,12749.0,1
54,4,12940.51,3235.1275,8488.88,12753.0,2
41,3,3010.74,1003.5799999999999,0.0,12754.0,0
86,2,3811.95,1905.975,0.0,12755.0,0
6,5,4202.2300000000005,840.4460000000001,3654.87,12757.0,1
82,1,1570.19,1570.19,1221.4,12758.0,0
82,1,444.8,444.8,1086.64,12759.0,0
175,1,320.08,320.08,174.0,12763.0,0
122,1,1693.88,1693.88,0.0,12764.0,0
46,4,4015.71,1003.9275,2255.4900000000002,12766.0,1
44,1,1143.6,1143.6,0.0,12769.0,0
16,1,1351.45,1351.45,0.0,12770.0,0
9,3,744.88,248.29333333333332,641.16,12775.0,0
65,3,408.06,136.02,414.17,12778.0,0
4,6,2974.41,495.73499999999996,1006.95,12779.0,0
90,1,549.26,549.26,277.48,12781.0,0
59,3,1562.95,520.9833333333333,515.72,12782.0,0
170,1,311.95,311.95,0.0,12785.0,0
179,1,192.60000000000002,192.60000000000002,0.0,12791.0,0
62,1,400.53999999999996,400.53999999999996,0.0,12792.0,0
140,2,545.48,272.74,0.0,12793.0,0
171,1,254.03,254.03,0.0,12797.0,0
174,1,129.4,129.4,354.25,12808.0,0
66,3,514.85,171.61666666666667,0.0,12811.0,0
4,1,615.36,615.36,448.1,12815.0,0
87,1,166.04,166.04,0.0,12817.0,0
67,1,1542.08,1542.08,0.0,12818.0,0
132,1,170.46,170.46,561.53,12820.0,0
20,1,92.72,92.72,0.0,12821.0,0
60,3,994.5,331.5,765.0,12823.0,0
122,3,697.1,232.36666666666667,635.02,12826.0,0
142,2,293.0,146.5,0.0,12829.0,0
68,1,215.05,215.05,0.0,12831.0,0
88,1,312.38,312.38,0.0,12834.0,0
25,2,1661.4,830.7,951.46,12836.0,0
179,1,390.79,390.79,292.34000000000003,12838.0,0
4,4,1395.89,348.9725,2876.38,12839.0,1
20,2,1577.97,788.985,1148.8,12840.0,0
28,12,1961.26,163.43833333333333,1910.08,12841.0,1
114,1,310.73,310.73,808.26,12842.0,0
19,3,627.06,209.01999999999998,1075.2,12843.0,0
73,4,354.09,88.5225,0.0,12845.0,0
74,1,704.5,704.5,346.39,12849.0,0
100,1,311.55,311.55,0.0,12852.0,0
45,3,885.0,295.0,1072.1,12853.0,0
47,2,810.37,405.185,514.13,12854.0,0
178,1,38.1,38.1,0.0,12855.0,0
16,2,1106.4,553.2,0.0,12857.0,0
89,1,559.12,559.12,0.0,12866.0,0
20,4,1738.54,434.635,2298.28,12867.0,1
24,5,1359.0,271.8,248.06,12868.0,0
13,1,132.0,132.0,248.64,12871.0,0
132,2,599.97,299.985,0.0,12872.0,0
88,1,374.0,374.0,0.0,12873.0,0
168,1,293.76000000000005,293.76000000000005,49.470000000000006,12875.0,0
2,1,726.43,726.43,1491.59,12876.0,1
6,7,682.0400000000001,97.43428571428572,754.07,12877.0,0
42,2,854.99,427.495,0.0,12878.0,0
81,1,298.0,298.0,0.0,12881.0,0
25,1,775.0,775.0,603.4,12886.0,0
20,2,354.12,177.06,0.0,12888.0,0
26,2,246.00000000000003,123.00000000000001,85.0,12891.0,0
10,2,216.5,108.25,0.0,12897.0,0
6,11,7785.56,707.7781818181819,8050.67,12901.0,2
70,1,138.68,138.68,0.0,12902.0,0
118,1,318.0,318.0,432.0,12908.0,0
7,3,1528.37,509.45666666666665,650.3,12909.0,0
3,3,1142.5,380.8333333333333,1932.54,12910.0,1
88,3,866.39,288.7966666666667,1082.14,12913.0,0
178,1,199.65,199.65,164.0,12915.0,0
7,3,2312.78,770.9266666666667,693.37,12916.0,0
18,13,5514.4400000000005,424.1876923076924,9296.43,12921.0,2
4,3,655.27,218.42333333333332,278.43,12924.0,0
47,2,780.04,390.02,1282.66,12928.0,0
117,1,117.85,117.85,0.0,12929.0,0
89,1,110.75,110.75,496.78,12933.0,0
9,2,866.23,433.115,950.6899999999999,12935.0,0
3,2,428.23,214.115,1076.04,12937.0,0
79,3,7228.32,2409.44,4353.48,12939.0,1
3,2,396.52000000000004,198.26000000000002,287.38,12942.0,0
160,1,286.95,286.95,317.56,12944.0,0
94,1,462.95,462.95,0.0,12945.0,0
40,3,1035.27,345.09,568.72,12947.0,0
20,3,886.26,295.42,1178.69,12948.0,0
12,3,2250.7,750.2333333333332,1916.52,12949.0,1
10,4,624.88,156.22,126.9,12951.0,0
9,3,697.42,232.47333333333333,3252.52,12955.0,1
112,1,108.07,108.07,0.0,12956.0,0
10,3,1128.77,376.25666666666666,1919.8700000000001,12957.0,1
171,1,365.8,365.8,1077.4,12963.0,0
164,2,1660.9,830.45,0.0,12967.0,0
128,2,23.8,11.9,0.0,12970.0,0
2,39,4638.22,118.92871794871796,5956.82,12971.0,2
3,1,144.8,144.8,0.0,12974.0,0
17,1,738.6,738.6,0.0,12976.0,0
16,6,4566.360000000001,761.0600000000001,2808.54,12980.0,1
48,1,390.54,390.54,0.0,12982.0,0
3,1,304.3,304.3,254.4,12987.0,0
98,1,535.32,535.32,0.0,12988.0,0
6,7,3327.94,475.42,3467.04,12989.0,1
116,1,97.5,97.5,312.0,12990.0,0
13,2,175.29999999999998,87.64999999999999,239.46,12993.0,0
74,1,352.6,352.6,292.87,12994.0,0
42,2,608.47,304.235,618.42,12997.0,0
2,3,455.88,151.96,0.0,12999.0,0
65,2,458.53000000000003,229.26500000000001,76.32000000000001,13000.0,0
23,9,7343.85,815.9833333333333,1883.96,13001.0,1
124,1,120.94999999999999,120.94999999999999,0.0,13002.0,0
21,1,59.050000000000004,59.050000000000004,90.0,13003.0,0
20,7,2448.02,349.71714285714285,2862.45,13004.0,1
52,1,321.65,321.65,192.05,13005.0,0
129,1,229.46999999999997,229.46999999999997,0.0,13008.0,0
178,1,50.550000000000004,50.550000000000004,0.0,13011.0,0
19,3,707.39,235.79666666666665,798.75,13012.0,0
18,4,2372.29,593.0725,2143.55,13013.0,1
26,3,1328.03,442.6766666666667,1833.35,13014.0,1
3,4,1763.04,440.76,1583.24,13015.0,1
2,11,3673.96,333.99636363636364,3603.7400000000002,13018.0,1
21,3,765.0,255.0,1545.95,13021.0,1
26,2,243.71999999999997,121.85999999999999,531.12,13026.0,0
39,3,3840.0,1280.0,3072.0,13027.0,1
159,1,382.5,382.5,865.0,13029.0,0
174,1,427.74,427.74,0.0,13030.0,0
163,1,190.55,190.55,0.0,13033.0,0
175,1,165.86,165.86,476.90999999999997,13034.0,0
66,1,333.0,333.0,588.88,13035.0,0
25,2,577.32,288.66,303.75,13037.0,0
96,1,395.1,395.1,513.36,13038.0,0
79,1,516.42,516.42,0.0,13043.0,0
97,1,560.47,560.47,0.0,13044.0,0
72,1,197.72,197.72,431.59,13046.0,0
25,6,1671.68,278.61333333333334,1565.8600000000001,13047.0,1
44,2,939.92,469.96,895.99,13048.0,0
124,1,153.78,153.78,502.90000000000003,13049.0,0
10,9,2873.96,319.3288888888889,2962.9,13050.0,1
18,1,348.15000000000003,348.15000000000003,0.0,13052.0,0
19,1,344.86,344.86,869.55,13055.0,0
55,1,183.4,183.4,0.0,13059.0,0
59,1,307.53,307.53,0.0,13060.0,0
133,1,203.3,203.3,639.03,13064.0,0
179,1,205.86,205.86,0.0,13065.0,0
126,1,165.0,165.0,0.0,13068.0,0
4,13,2531.54,194.73384615384614,1624.34,13069.0,1
73,1,177.15,177.15,0.0,13072.0,0
96,3,577.44,192.48000000000002,0.0,13077.0,0
6,10,4467.16,446.716,6876.83,13078.0,2
24,7,14463.51,2066.2157142857145,11749.95,13081.0,2
41,5,1960.18,392.036,1653.45,13082.0,1
101,1,278.1,278.1,137.98000000000002,13085.0,0
44,7,3111.6,444.5142857142857,5443.84,13090.0,2
17,4,439.75,109.9375,38.08,13092.0,0
81,8,7832.47,979.05875,0.0,13093.0,0
11,7,940.44,134.34857142857143,986.8800000000001,13094.0,0
39,5,3004.26,600.8520000000001,3006.16,13097.0,1
40,1,101.19,101.19,0.0,13101.0,0
4,15,3769.16,251.27733333333333,2152.8,13102.0,1
73,2,213.72,106.86,545.28,13104.0,0
139,1,566.84,566.84,964.78,13107.0,0
178,1,350.06,350.06,0.0,13108.0,0
63,3,732.49,244.16333333333333,756.1800000000001,13110.0,0
7,15,8063.66,537.5773333333333,3843.1,13113.0,1
23,6,751.37,125.22833333333334,233.54,13117.0,0
14,3,799.7,266.56666666666666,398.11,13118.0,0
44,1,30.599999999999998,30.599999999999998,0.0,13120.0,0
75,1,283.73,283.73,0.0,13121.0,0
46,1,903.67,903.67,18.72,13122.0,0
58,2,2574.12,1287.06,1292.21,13124.0,0
59,5,1077.42,215.484,652.78,13126.0,0
67,1,77.3,77.3,0.0,13132.0,0
79,2,109.8,54.9,0.0,13133.0,0
40,2,525.7,262.85,1267.88,13134.0,0
2,1,3096.0,3096.0,0.0,13135.0,0
18,1,574.46,574.46,2033.15,13136.0,1
58,2,863.84,431.92,2325.7400000000002,13137.0,1
46,2,386.85,193.425,575.54,13138.0,0
21,2,1170.02,585.01,3894.92,13139.0,1
172,1,159.51,159.51,264.21,13140.0,0
20,4,1401.03,350.2575,987.72,13141.0,0
138,1,110.95,110.95,0.0,13144.0,0
178,1,295.0,295.0,323.52000000000004,13145.0,0
38,6,1798.33,299.72166666666664,1908.79,13148.0,1
95,1,376.74,376.74,1299.32,13149.0,0
101,1,1257.8700000000001,1257.8700000000001,0.0,13151.0,0
132,2,569.2,284.6,402.56,13155.0,0
47,2,497.94,248.97,1243.28,13157.0,0
124,1,256.40999999999997,256.40999999999997,944.65,13158.0,0
119,1,112.75,112.75,0.0,13161.0,0
39,2,1301.69,650.845,386.6,13162.0,0
157,1,354.64,354.64,666.84,13165.0,0
89,1,417.2,417.2,0.0,13166.0,0
5,3,972.66,324.21999999999997,346.53000000000003,13168.0,0
58,1,505.2,505.2,207.68,13169.0,0
105,1,140.35,140.35,328.06,13171.0,0
173,1,165.94,165.94,0.0,13173.0,0
122,2,2108.27,1054.135,708.76,13174.0,0
9,5,2719.2,543.8399999999999,3006.27,13178.0,1
14,3,1527.0800000000002,509.0266666666667,2001.64,13183.0,1
33,4,746.31,186.5775,954.98,13184.0,0
73,1,71.4,71.4,0.0,13185.0,0
143,1,236.02,236.02,0.0,13187.0,0
11,1,464.32,464.32,447.62,13192.0,0
68,1,512.13,512.13,1074.82,13196.0,0
55,3,2087.75,695.9166666666666,921.4300000000001,13198.0,0
3,16,3740.16,233.76,5210.14,13199.0,1
48,1,165.71,165.71,540.53,13203.0,0
12,3,700.21,233.40333333333334,523.69,13208.0,0
33,3,2362.44,787.48,3529.17,13209.0,1
167,1,110.7,110.7,775.94,13211.0,0
5,2,415.28000000000003,207.64000000000001,1105.3,13213.0,0
73,1,333.74,333.74,0.0,13216.0,0
25,2,559.69,279.845,259.6,13220.0,0
46,2,847.41,423.705,0.0,13221.0,0
6,2,163.20000000000002,81.60000000000001,0.0,13223.0,0
2,4,3741.88,935.47,1358.76,13225.0,0
79,1,108.21000000000001,108.21000000000001,0.0,13226.0,0
7,1,257.7,257.7,0.0,13227.0,0
31,1,160.95,160.95,0.0,13229.0,0
7,9,1799.48,199.94222222222223,610.23,13230.0,0
2,3,691.9,230.63333333333333,477.8,13232.0,0
142,1,304.24,304.24,300.88,13233.0,0
18,1,1031.07,1031.07,0.0,13235.0,0
166,1,91.15,91.15,609.58,13238.0,0
67,1,329.56,329.56,0.0,13239.0,0
63,2,442.41,221.205,221.24,13240.0,0
19,2,104.0,52.0,166.4,13242.0,0
9,1,600.07,600.07,0.0,13243.0,0
12,4,1648.52,412.13,338.78,13246.0,0
67,1,291.84000000000003,291.84000000000003,419.57000000000005,13249.0,0
145,1,476.48,476.48,553.92,13253.0,0
179,1,225.7,225.7,0.0,13255.0,0
11,1,224.62,224.62,370.36,13258.0,0
74,2,944.1,472.05,0.0,13261.0,0
69,1,200.29,200.29,0.0,13262.0,0
4,14,3290.75,235.05357142857142,3632.02,13263.0,1
51,2,1124.88,562.44,982.78,13265.0,0
9,5,1510.57,302.114,2014.18,13266.0,1
5,11,2210.14,200.92181818181817,2010.15,13267.0,1
4,5,1837.78,367.556,1376.91,13268.0,0
24,5,2048.23,409.646,2478.36,13269.0,1
172,1,590.0,590.0,0.0,13270.0,0
122,2,699.36,349.68,115.5,13280.0,0
26,1,344.70000000000005,344.70000000000005,787.44,13282.0,0
136,1,201.19,201.19,0.0,13284.0,0
32,2,1173.27,586.635,1535.85,13285.0,1
90,1,249.57,249.57,329.37,13292.0,0
55,1,483.65,483.65,390.09,13294.0,0
165,1,201.20000000000002,201.20000000000002,0.0,13295.0,0
74,1,142.5,142.5,0.0,13299.0,0
28,2,327.77,163.885,290.32,13301.0,0
157,1,300.42,300.42,0.0,13304.0,0
51,4,640.25,160.0625,1147.45,13305.0,0
9,1,814.95,814.95,570.5600000000001,13308.0,0
12,2,546.64,273.32,675.27,13309.0,0
12,2,817.65,408.825,314.38,13310.0,0
21,2,609.74,304.87,945.58,13313.0,0
60,1,1622.48,1622.48,4355.25,13316.0,1
4,5,1313.98,262.796,959.7,13317.0,0
13,11,4527.84,411.6218181818182,6008.61,13319.0,2
19,2,508.61,254.305,1040.09,13320.0,0
9,7,3798.99,542.7128571428572,3322.96,13324.0,1
65,4,1421.95,355.4875,2205.82,13327.0,1
122,1,1308.48,1308.48,0.0,13328.0,0
172,1,304.2,304.2,484.79999999999995,13329.0,0
121,1,335.82,335.82,805.11,13330.0,0
111,1,1660.44,1660.44,1876.38,13334.0,1
6,1,860.12,860.12,0.0,13339.0,0
82,1,3678.03,3678.03,7058.45,13340.0,2
66,1,775.85,775.85,0.0,13341.0,0
83,1,1656.15,1656.15,887.57,13344.0,0
93,1,389.5,389.5,0.0,13345.0,0
63,1,609.95,609.95,0.0,13357.0,0
74,1,439.03,439.03,0.0,13358.0,0
52,2,1581.53,790.765,756.11,13362.0,0
23,1,700.6,700.6,1524.77,13365.0,1
62,2,623.4,311.7,0.0,13368.0,0
171,1,308.28000000000003,308.28000000000003,0.0,13369.0,0
177,1,754.87,754.87,0.0,13370.0,0
82,1,987.7,987.7,2324.55,13373.0,1
9,2,770.0,385.0,249.76,13376.0,0
13,2,1071.35,535.675,2567.96,13381.0,1
86,1,222.99,222.99,0.0,13382.0,0
135,1,534.57,534.57,0.0,13385.0,0
38,1,257.89,257.89,322.26,13389.0,0
9,1,59.8,59.8,0.0,13391.0,0
20,3,935.33,311.7766666666667,1282.59,13394.0,0
125,1,387.27000000000004,387.27000000000004,973.72,13396.0,0
100,2,601.77,300.885,942.36,13397.0,0
178,1,308.28000000000003,308.28000000000003,312.95,13402.0,0
18,1,217.81,217.81,0.0,13404.0,0
10,2,557.45,278.725,15.001,13405.0,0
13,25,11107.11,444.2844,14855.99,13408.0,2
69,2,404.64,202.32,598.42,13410.0,0
102,1,390.0,390.0,1000.5,13414.0,0
11,1,236.0,236.0,0.0,13417.0,0
10,9,3340.6,371.17777777777775,2098.21,13418.0,1
96,1,825.04,825.04,1026.04,13421.0,0
100,1,401.57,401.57,1222.64,13425.0,0
44,4,1285.02,321.255,1766.04,13426.0,1
21,1,214.5,214.5,368.1,13427.0,0
61,1,283.71,283.71,0.0,13439.0,0
24,4,1423.26,355.815,2116.11,13448.0,1
10,2,678.54,339.27,1365.1799999999998,13450.0,0
17,3,1652.3799999999999,550.7933333333333,1323.77,13451.0,0
65,2,590.0,295.0,0.0,13452.0,0
95,1,185.0,185.0,171.98,13453.0,0
172,1,692.94,692.94,365.4,13455.0,0
13,1,207.66,207.66,1559.0600000000002,13456.0,1
20,6,5629.62,938.27,3432.43,13458.0,1
58,1,151.5,151.5,0.0,13462.0,0
7,21,3591.12,171.00571428571428,1832.91,13468.0,1
138,1,241.26,241.26,181.38,13473.0,0
42,1,229.59,229.59,0.0,13474.0,0
23,3,1278.48,426.16,153.3,13475.0,0
87,1,727.6,727.6,510.87,13476.0,0
17,2,516.03,258.015,938.55,13477.0,0
6,2,300.95,150.475,0.0,13479.0,0
62,1,665.28,665.28,1139.28,13481.0,0
38,1,184.64,184.64,0.0,13482.0,0
47,1,313.8,313.8,0.0,13484.0,0
39,1,454.24,454.24,0.0,13485.0,0
19,2,408.8,204.4,166.6,13487.0,0
2,6,5530.43,921.7383333333333,3437.88,13488.0,1
95,2,235.68,117.84,213.84,13489.0,0
53,8,1031.63,128.95375,184.19,13491.0,0
20,1,315.3,315.3,954.54,13492.0,0
81,2,618.63,309.315,0.0,13493.0,0
117,1,316.26000000000005,316.26000000000005,0.0,13494.0,0
38,3,1072.43,357.4766666666667,659.8,13495.0,0
165,1,501.01,501.01,0.0,13496.0,0
88,2,348.05,174.025,0.0,13497.0,0
31,2,463.79,231.895,695.3199999999999,13499.0,0
94,1,1340.32,1340.32,0.0,13501.0,0
80,2,189.16,94.58,102.84,13502.0,0
38,1,1009.69,1009.69,3383.94,13505.0,1
122,2,458.52,229.26,0.0,13506.0,0
49,1,110.97,110.97,0.0,13508.0,0
60,3,650.02,216.67333333333332,231.6,13509.0,0
66,1,251.21,251.21,0.0,13512.0,0
53,1,203.4,203.4,687.72,13515.0,0
44,1,146.0,146.0,1243.41,13516.0,0
65,3,1479.3,493.09999999999997,2145.05,13520.0,1
5,3,2369.24,789.7466666666666,1595.64,13523.0,1
25,1,159.20000000000002,159.20000000000002,520.98,13524.0,0
54,1,282.88,282.88,345.9,13525.0,0
7,2,585.64,292.82,1701.8700000000001,13527.0,1
10,1,181.1,181.1,126.66000000000001,13529.0,0
11,2,483.8,241.9,0.0,13531.0,0
73,2,146.64,73.32,124.14999999999999,13533.0,0
5,16,2648.8,165.55,2864.08,13534.0,1
81,2,504.3,252.15,776.55,13538.0,0
46,2,315.65,157.825,315.69,13539.0,0
46,1,122.91,122.91,168.5,13544.0,0
6,1,188.16,188.16,230.12,13546.0,0
49,1,281.01,281.01,401.4,13548.0,0
